,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
7366,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,28,0,14,6,8,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7367,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,28,4,15,6,3,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7368,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,4,1,3,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7369,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,15,0,5,9,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7370,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7371,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,1,1,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7372,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,20,1,9,9,1,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7373,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,11,6,5,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7374,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,39,1,25,7,6,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7375,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,9,1,4,3,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7376,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,15,3,8,3,1,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7377,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,44,5,26,7,6,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7378,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,16,5,7,2,2,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7379,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,22,4,9,7,2,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
