,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
87,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,116,13,2,25,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
88,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,13,0,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
89,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,33,20,2,16,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
90,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
91,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,0,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
92,RN egresados con madres acogidas a Ley 21.155,14,114105,29101772,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
93,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
94,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,168,43,6,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
95,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,63,1,4,10,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
96,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,62,25,11,17,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
97,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,24,9,3,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
98,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,0,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
99,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,0,2,1,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
100,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,0,6,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
101,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,,50,6,5,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
102,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,26,4,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
103,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,,14,2,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
104,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
105,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,,10,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
106,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,19,3,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
107,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,,16,4,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
108,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114103,24311027,13,13131,,2,2,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
109,RN egresados con madres acogidas a Ley 21.155,14,114103,29101772,13,13131,,2,2,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
110,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,,13,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
111,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,,51,12,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
112,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,,41,7,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
113,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,23,5,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
114,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,,12,2,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
115,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,,5,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
116,Total de recién nacidos/as egresados/as,14,114103,24200134,13,13131,,54,10,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
117,RN egresados con LME durante hospitalización y al alta,14,114103,24300103,13,13131,,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
118,RN egresados que recuperaron LME al alta,14,114103,24311025,13,13131,,31,6,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
119,RN egresados con lactancia mixta al alta,14,114103,24311026,13,13131,,16,4,2,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
120,RN egresados solo fórmula por protección o madre grave,14,114103,24311028,13,13131,,6,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Padre Alberto Hurtado (San Ramón),San Ramón,114103,13131,14
121,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,5,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
122,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,204,85,0,30,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
123,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,147,0,5,16,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
124,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,13,20,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
125,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,39,52,0,14,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto,114101,13201,14
