,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Col01,Col02,Col03,1° mes,3° mes,6° mes,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
5435684,9,14,2024,114313,A0200002,13,13201,33.0,16.0,1.0,4.0,1.0,11.0,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5435690,9,14,2024,114313,A0200001,13,13201,54.0,18.0,2.0,7.0,6.0,13.0,6.0,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,MENORES CONTROLADOS
5436792,7,14,2024,114320,A0200002,13,13201,48.0,11.0,2.0,13.0,,22.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5437055,9,14,2024,114301,A0200002,13,13201,91.0,27.0,3.0,15.0,18.0,28.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5437408,9,14,2024,114301,A0200001,13,13201,175.0,33.0,7.0,29.0,43.0,49.0,10.0,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,MENORES CONTROLADOS
5437446,5,14,2024,114313,A0200002,13,13201,35.0,12.0,4.0,3.0,6.0,10.0,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5437450,5,14,2024,114320,A0200001,13,13201,119.0,27.0,3.0,30.0,0.0,32.0,19.0,8.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,MENORES CONTROLADOS
5437987,7,14,2024,114332,A0200001,13,13201,87.0,14.0,9.0,7.0,2.0,30.0,21.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto,MENORES CONTROLADOS
5438253,6,14,2024,114329,A0200001,13,13201,77.0,12.0,0.0,18.0,12.0,13.0,12.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5438282,6,14,2024,114329,A0200002,13,13201,28.0,10.0,0.0,9.0,6.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
