,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
98,1,14,114331,A0200001,13,13110,34,29,17,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS,114331,13110,14
99,2,14,114331,A0200002,13,13110,16,10,11,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA,114331,13110,14
100,2,14,114331,A0200001,13,13110,22,18,18,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS,114331,13110,14
101,1,14,114334,A0200002,13,13110,5,4,12,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar José Alvo,La Florida,LACTANCIA MATERNA EXCLUSIVA,114334,13110,14
102,1,12,112304,A0200001,13,13114,3,4,4,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Apoquindo,Las Condes,MENORES CONTROLADOS,112304,13114,12
103,3,12,112313,A0200002,13,13118,8,8,6,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Santa Julia,Macul,LACTANCIA MATERNA EXCLUSIVA,112313,13118,12
104,3,12,112306,A0200001,13,13114,13,16,12,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Aníbal Ariztía,Las Condes,MENORES CONTROLADOS,112306,13114,12
105,3,9,109300,A0200001,13,13108,57,52,41,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Agustín Cruz Melo,Independencia,MENORES CONTROLADOS,109300,13108,09
106,3,9,109104,A0200001,13,13303,5,6,6,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,MENORES CONTROLADOS,109104,13303,09
107,1,11,111310,A0200001,13,13106,66,53,64,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Las Mercedes,Estación Central,MENORES CONTROLADOS,111310,13106,11
108,3,11,111302,A0200002,13,13106,12,15,13,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Vicente Irarrázabal,Estación Central,LACTANCIA MATERNA EXCLUSIVA,111302,13106,11
109,3,14,114331,A0200001,13,13110,32,21,24,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS,114331,13110,14
110,3,14,114316,A0200002,13,13110,11,8,11,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA,114316,13110,14
111,3,14,114316,A0200001,13,13110,19,13,19,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS,114316,13110,14
112,3,14,114331,A0200002,13,13110,20,15,13,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA,114331,13110,14
113,1,14,114316,A0200002,13,13110,9,5,7,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA,114316,13110,14
114,5,10,110355,A0200002,13,13103,10,7,8,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Arturo Albertz,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110355,13103,10
115,5,10,110355,A0200001,13,13103,21,16,14,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Arturo Albertz,Cerro Navia,MENORES CONTROLADOS,110355,13103,10
116,3,13,113312,A0200002,13,13105,7,4,4,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dr. Carlos Lorca Tobar,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113312,13105,13
117,3,13,113312,A0200001,13,13105,10,10,11,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dr. Carlos Lorca Tobar,El Bosque,MENORES CONTROLADOS,113312,13105,13
118,1,14,114303,A0200002,13,13110,25,26,20,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bellavista,La Florida,LACTANCIA MATERNA EXCLUSIVA,114303,13110,14
119,1,14,114303,A0200001,13,13110,36,41,29,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bellavista,La Florida,MENORES CONTROLADOS,114303,13110,14
120,5,14,114303,A0200002,13,13110,11,22,7,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bellavista,La Florida,LACTANCIA MATERNA EXCLUSIVA,114303,13110,14
