,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
121,RN egresados con madres serología positiva (VIH),12,112101,29101770,13,13122,1,0,0,1,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
122,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,21,0,0,4,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
123,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,2,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
124,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,19,0,1,7,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
125,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,3,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
126,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,18,44,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
127,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,30,0,1,7,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
128,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,215,76,7,56,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
129,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,142,2,4,32,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
130,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,25,27,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
131,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,4,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
132,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,8,0,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
133,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,,5,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
