,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
558,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,414,99,0,216,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
559,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
560,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,397,112,0,243,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
561,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,192,1,0,101,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
562,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,52,26,0,37,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
563,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,60,78,0,69,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
564,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,8,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
565,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
566,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,169,0,0,77,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
567,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,5,0,2,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
568,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,7,0,7,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
569,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,294,91,0,170,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
570,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,198,34,0,107,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
571,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,7,0,2,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
572,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,2,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
573,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,147,33,3,24,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
574,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,112,1,2,18,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
575,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,7,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
576,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,35,21,1,6,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
577,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,14,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
578,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,2,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
579,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,132,43,13,56,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
580,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,81,0,6,32,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
581,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,23,10,5,7,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
582,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,13,29,2,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
583,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,1,0,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
584,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,3,0,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
585,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,11,0,0,6,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
586,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,126,23,10,38,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
587,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,69,0,7,18,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
588,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,2,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
589,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,161,32,8,60,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
590,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,67,0,5,32,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
591,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,31,6,0,15,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
592,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,20,24,0,15,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
593,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,5,1,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
594,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,1,0,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
595,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,17,0,2,5,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
596,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,119,32,15,49,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
597,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,70,,10,25,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
598,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,27,13,3,13,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
599,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,11,18,1,8,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
600,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,2,1,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
601,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,9,,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
602,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,132,37,9,65,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
603,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,84,,7,34,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
604,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,25,6,1,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
605,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,14,20,1,16,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
606,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,1,3,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
607,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,,1,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
608,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,4,,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
609,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,2,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
610,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,176,,0,60,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
611,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,157,,0,60,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
612,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
613,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,12,,0,6,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
614,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,5,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
615,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,200,,0,47,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
616,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,184,,0,41,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
617,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,13,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
618,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,3,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
619,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,152,,0,51,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
620,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,149,,0,47,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
621,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,3,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
622,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,15,,0,3,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
623,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
624,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,158,,0,56,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
625,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,144,,0,51,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
626,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,11,,0,5,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
627,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,3,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
628,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,168,,0,53,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
629,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,153,,0,47,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
630,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,14,,0,6,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
631,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
632,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,206,,0,59,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
633,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,189,,0,55,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
634,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,16,,0,4,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
635,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
636,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,181,0,0,47,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
637,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,161,0,0,42,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
638,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,161,0,0,42,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
639,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,184,0,0,43,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
640,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,169,0,0,39,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
641,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,169,0,0,39,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
642,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,182,,0,62,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
643,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,161,,0,57,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
644,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,161,,0,57,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
645,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,20,,0,5,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
646,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
647,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,3,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
648,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,184,,0,38,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
649,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,162,,0,36,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
650,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
651,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,17,,0,2,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
652,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,177,,0,51,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
653,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,165,,0,49,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
654,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,3,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
655,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,5,,0,1,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
656,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,4,,0,1,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
657,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,183,,0,45,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
658,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,169,,0,41,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
659,RN egresados que recuperaron LME al alta,10,110120,24311025,13,13126,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
660,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,10,,0,4,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
661,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
662,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,93,20,0,19,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
663,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,87,3,0,17,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
664,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,90,17,0,19,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
665,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,3,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
666,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,118,16,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
667,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,116,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
668,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,2,11,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
669,RN egresados solo fórmula por protección o madre grave,10,110150,24311028,13,13501,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
670,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,120,19,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
671,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,118,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
672,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
673,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,2,5,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
674,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,131,19,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
675,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,129,6,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
676,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,130,12,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
677,RN egresados solo fórmula por protección o madre grave,10,110150,24311028,13,13501,0,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
678,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,112,19,0,48,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
679,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,92,17,0,16,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
680,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,3,19,0,14,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
681,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,1,19,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
682,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110150,24311027,13,13501,0,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
683,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,115,16,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
684,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,113,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
685,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,2,15,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
686,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110150,24311027,13,13501,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
687,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,110,21,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
688,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,108,4,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
689,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
690,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,2,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
691,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,117,18,2,40,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
692,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,115,1,2,40,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
693,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,116,17,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
694,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
695,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,93,16,2,39,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
696,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,89,0,2,39,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
697,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,2,15,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
698,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,4,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
699,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,122,13,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
700,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,121,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
701,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,121,10,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
702,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
703,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,101,9,0,23,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
704,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,91,2,0,23,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
705,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,98,7,0,23,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
706,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,119,12,0,15,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
707,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,107,2,0,14,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
708,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,12,6,0,2,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
709,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,0,6,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla
710,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,70,4,1,14,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
711,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,62,0,1,13,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
712,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,0,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
713,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,6,1,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
