,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
2135392,Egresados con lactancia materna exclusiva (código histórico),12,10,2024,110100,24200100,13,13101,118.0,5.0,11.0,37.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135561,Total de recién nacidos/as egresados/as,1,10,2024,110100,24200134,13,13101,191.0,24.0,7.0,56.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135562,RN egresados con LME durante hospitalización y al alta,1,10,2024,110100,24300103,13,13101,111.0,,0.0,37.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135563,RN egresados con madres acogidas a Ley 21.155,1,10,2024,110100,29101772,13,13101,4.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135564,Egresados con lactancia materna exclusiva (código histórico),1,10,2024,110100,24200100,13,13101,157.0,15.0,0.0,50.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2266994,Total de recién nacidos/as egresados/as,4,10,2024,110120,24200134,13,13126,181.0,0.0,0.0,34.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2266995,RN egresados con LME durante hospitalización y al alta,4,10,2024,110120,24300103,13,13126,169.0,0.0,0.0,34.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2266996,RN egresados con madres acogidas a Ley 21.155,4,10,2024,110120,29101772,13,13126,1.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2266997,Egresados con lactancia materna exclusiva (código histórico),4,10,2024,110120,24200100,13,13126,169.0,0.0,0.0,34.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267014,Total de recién nacidos/as egresados/as,8,10,2024,110120,24200134,13,13126,191.0,0.0,0.0,52.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267015,RN egresados con LME durante hospitalización y al alta,8,10,2024,110120,24300103,13,13126,171.0,0.0,0.0,52.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267148,Total de recién nacidos/as egresados/as,1,10,2024,110120,24200134,13,13126,242.0,0.0,0.0,62.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267149,RN egresados con LME durante hospitalización y al alta,1,10,2024,110120,24300103,13,13126,227.0,0.0,0.0,56.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267150,Egresados con lactancia materna exclusiva (código histórico),1,10,2024,110120,24200100,13,13126,227.0,0.0,0.0,56.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267718,Total de recién nacidos/as egresados/as,5,10,2024,110120,24200134,13,13126,200.0,0.0,0.0,53.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267719,RN egresados con LME durante hospitalización y al alta,5,10,2024,110120,24300103,13,13126,180.0,0.0,0.0,48.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267720,RN egresados con madres acogidas a Ley 21.155,5,10,2024,110120,29101772,13,13126,1.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267721,Egresados con lactancia materna exclusiva (código histórico),5,10,2024,110120,24200100,13,13126,181.0,0.0,0.0,48.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267850,RN egresados con madres acogidas a Ley 21.155,8,10,2024,110120,29101772,13,13126,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2267851,Egresados con lactancia materna exclusiva (código histórico),8,10,2024,110120,24200100,13,13126,171.0,0.0,0.0,46.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
2268692,Total de recién nacidos/as egresados/as,7,10,2024,110120,24200134,13,13126,183.0,0.0,0.0,55.0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia
